Metric,Intra_Patient,Inter_Patient
Mean,0.9546183831550091,0.7733890449002679
Std,0.04714493326380215,0.07491983008553413
Min,0.7610912669985075,0.303138249808254
Max,1.0,0.9504615980018966
Median,0.9550591030093136,0.7846445457850141
