Dimension,Mean_CV,Std_CV,Median_CV
latent_23,0.06786720212399933,0.046835107617701814,0.057916025190202426
latent_148,0.06914629492074746,0.05181439983218674,0.05997490753774172
latent_61,0.0729502702328933,0.052790300475475574,0.06402692856620917
latent_130,0.07373279660307125,0.05932342206763779,0.06330993112510469
latent_140,0.0816804608118261,0.06218680878562306,0.06855333921143893
latent_169,0.08206092943595646,0.06666627543109381,0.07196870742959277
latent_15,0.08225935849732625,0.057058277808832644,0.07272541004574935
latent_182,0.08474356109462441,0.06157403392445888,0.07145846108601249
latent_159,0.08518626769532889,0.06595150159760035,0.07549336664293181
latent_251,0.08555977506240864,0.05747931981447233,0.0745317907466494
latent_43,0.09463754974026373,0.2964604945806633,0.06947526847231393
latent_1,0.09540396079709182,0.1289722998991122,0.07307080506334797
latent_101,0.11253246527121047,0.08028140338447533,0.10079585314522767
latent_185,0.12206396536031042,0.09503168380179783,0.10579984592651329
latent_170,0.12206822868003658,0.11214781389868793,0.10088643978815236
latent_96,0.12584519002070724,0.0843437003647614,0.11324027274023478
latent_177,0.135128057217626,0.31101669979174423,0.08352397097670669
latent_200,0.13684084593871595,0.2131187669703957,0.10932108220181759
latent_19,0.13954875395864974,0.1208240007753998,0.11099942959266787
latent_213,0.14935477458750593,0.19993035050119418,0.109622882914778
latent_186,0.17570602920552408,0.17183841416516712,0.13530684820197736
latent_249,0.19798047821817855,0.19921522748280707,0.14935011512279311
latent_133,0.21446462566177188,0.36760838805185464,0.1555602877715257
latent_85,0.225105592353334,0.49945843880945645,0.13913498450122236
latent_64,0.23060280933751395,0.2214180029822825,0.17981114864900039
latent_128,0.24360360978787535,0.8411826438717642,0.15427537719593673
latent_71,0.2485613334929872,0.509203008514232,0.16471640328038933
latent_126,0.33211395375292485,0.6824808965026675,0.2037949952010647
latent_203,0.35203660096670425,0.665153534697558,0.19387849909864052
latent_155,0.35897710218808854,2.115324387012281,0.18486162196245268
latent_163,0.3762583218573152,0.673883021489136,0.2308722354482319
latent_107,0.4254011166411845,1.1392599573650772,0.23983254774523907
latent_181,0.46511924685907474,2.0598619700838827,0.21851118880620382
latent_77,0.500022787471407,2.920615378484267,0.2174829793626465
latent_216,0.5037398051138878,1.6672153824782279,0.2258855928273656
latent_221,0.5513331042305012,1.7496709998735909,0.24109459490884907
latent_48,0.6220565042651028,2.110933995374842,0.26744368179316963
latent_62,0.684827424389237,9.527714612922708,0.15290732812146587
