Dimension,Covariate,Scanner_F,Scanner_p,Scanner_Partial_Eta_Sq,Covariate_F,Covariate_p,Covariate_Partial_Eta_Sq,Model_R_squared,Model_Adj_R_squared,N_observations,Scanner_Survives_Bonferroni
latent_213,SBR_PC2,34.981532452016076,1.0877472903658638e-91,0.1822130077056207,118.20599053565897,6.728518859100912e-27,0.047794640231344956,0.21293625848767084,0.20758890398058072,2372,True
latent_39,SBR_PC2,33.850362714284735,9.611619300308782e-89,0.1773659857537756,46.69696580168196,1.0514255419115044e-11,0.01944332131264304,0.19433171815620287,0.18885796337509853,2372,True
latent_134,SBR_PC2,21.0493204197635,2.2354067332684368e-54,0.11822185206963039,27.19711040253347,1.9975002673362404e-07,0.011416817812333679,0.12894267975545637,0.12302466823787139,2372,True
latent_126,SBR_PC2,20.753848693816465,1.457941846540475e-53,0.11675611440383081,9.110662590354856,0.0025684859055968936,0.0038537377858498,0.12264867410251645,0.11668790076308555,2372,True
latent_231,SBR_PC2,19.837843473345913,4.941252892823539e-51,0.11218098504088576,14.592138800190439,0.00013692182774115887,0.006158080355372449,0.11607942939233773,0.11007402424171242,2372,True
latent_8,SBR_PC2,16.30571619147308,3.3049743971028254e-41,0.094086430325576,3.8886826896909206,0.04872939229349458,0.0016485231873073819,0.09527090623687551,0.08912412683126614,2372,True
latent_99,SBR_PC2,15.843780950859125,6.473638855562484e-40,0.09166532266129748,91.7804315245967,2.3599496083489794e-21,0.037510693784406315,0.12640277049755078,0.12046750269626028,2372,True
latent_19,SBR_PC2,15.538219324793157,4.639802454879971e-39,0.09005668069138562,8.258164165102025,0.004093270167823859,0.0034943978149841667,0.09215549015038282,0.08598754443590562,2372,True
latent_133,SBR_PC2,14.98548147767405,1.6410163927413577e-37,0.08713224714621833,61.22605977678354,7.620728046077892e-15,0.02533954119443598,0.10783110147303132,0.10176965672720051,2372,True
latent_251,SBR_PC2,14.691929063843348,1.0919551721107935e-36,0.0855714601376526,2.69840052727466,0.10058247554395362,0.0011445062382326725,0.08882468777653085,0.0826341124068597,2372,True
latent_116,SBR_PC2,13.043949718903065,4.625349632967708e-32,0.07670928451418478,219.41808118453778,1.5607426777445148e-47,0.08523016629978741,0.1510609338822505,0.14529319500416815,2372,True
