Feature,Coefficient,Abs_Coefficient,Rank
latent_187,0.08205994698422751,0.08205994698422751,1
latent_114,-0.07517574868819306,0.07517574868819306,2
latent_93,0.06790449827257436,0.06790449827257436,3
latent_116,0.06754927592734003,0.06754927592734003,4
latent_86,-0.0659152999851175,0.0659152999851175,5
latent_159,0.0656484206917424,0.0656484206917424,6
latent_251,0.05851899713954439,0.05851899713954439,7
latent_62,-0.054603528469130906,0.054603528469130906,8
latent_44,0.05137114574560667,0.05137114574560667,9
latent_253,0.05120216492235803,0.05120216492235803,10
latent_39,0.049976416502080546,0.049976416502080546,11
latent_25,-0.047814813713532106,0.047814813713532106,12
latent_241,-0.04747981196713794,0.04747981196713794,13
latent_106,0.04404341637956578,0.04404341637956578,14
latent_200,-0.04403012506330831,0.04403012506330831,15
latent_189,0.04186887064453659,0.04186887064453659,16
latent_213,-0.04125924800249416,0.04125924800249416,17
latent_219,-0.04041637219620404,0.04041637219620404,18
latent_71,-0.0404014066690149,0.0404014066690149,19
latent_55,-0.040088569397694396,0.040088569397694396,20
latent_31,0.03926036553856571,0.03926036553856571,21
latent_76,-0.03924158781155318,0.03924158781155318,22
latent_8,0.038289820452657296,0.038289820452657296,23
latent_42,0.036731942456382796,0.036731942456382796,24
latent_161,0.03422161424434907,0.03422161424434907,25
latent_79,0.033504531053497315,0.033504531053497315,26
latent_40,0.032667330163381296,0.032667330163381296,27
latent_4,0.032353371992326595,0.032353371992326595,28
latent_143,0.0321896804911968,0.0321896804911968,29
latent_101,0.031181504541087854,0.031181504541087854,30
latent_41,-0.031129723444985866,0.031129723444985866,31
latent_53,-0.030140571302702677,0.030140571302702677,32
latent_207,0.02912980765153909,0.02912980765153909,33
latent_15,0.029026524740842424,0.029026524740842424,34
latent_244,-0.02898491470667092,0.02898491470667092,35
latent_37,0.028599040022197212,0.028599040022197212,36
latent_125,0.027943283209282126,0.027943283209282126,37
latent_2,0.027143464046738557,0.027143464046738557,38
latent_109,-0.026147859437288888,0.026147859437288888,39
latent_16,0.025836153440147582,0.025836153440147582,40
latent_185,-0.025775432370123204,0.025775432370123204,41
latent_124,0.02573169481027367,0.02573169481027367,42
latent_199,0.02529192519334949,0.02529192519334949,43
latent_238,-0.02506877960974839,0.02506877960974839,44
latent_52,0.024767268635691824,0.024767268635691824,45
latent_54,0.024503172475513986,0.024503172475513986,46
latent_5,0.023906198700301053,0.023906198700301053,47
latent_92,-0.02346681010074228,0.02346681010074228,48
latent_1,0.0234270850349981,0.0234270850349981,49
latent_22,0.023426348932062135,0.023426348932062135,50
latent_136,-0.023389142761880574,0.023389142761880574,51
latent_242,-0.022766798062810706,0.022766798062810706,52
latent_154,-0.02222842536020591,0.02222842536020591,53
latent_103,-0.02220468176242121,0.02220468176242121,54
latent_208,0.022095082031614317,0.022095082031614317,55
latent_202,-0.02170620572179371,0.02170620572179371,56
latent_227,-0.021689202484076513,0.021689202484076513,57
latent_146,-0.02141741141005838,0.02141741141005838,58
latent_26,0.02112391383923599,0.02112391383923599,59
latent_77,0.021060779398193626,0.021060779398193626,60
latent_175,-0.02078137157470221,0.02078137157470221,61
latent_91,-0.0207328267600747,0.0207328267600747,62
latent_98,0.020647074564910987,0.020647074564910987,63
latent_166,0.020501751464900537,0.020501751464900537,64
