Latent_Dimension_Index,Age,Sex,Scanner,Scanner Model,Patient Hand,SBR_PC1,SBR_PC2,SBR_PC3
8,0.017006954759996105,0.0,0.06914932686915852,0.09597964947810313,0.0,0.0,0.0,0.05601412014796186
10,0.027532563064962982,0.02416641803473274,0.0891229852338102,0.0886342270927945,0.0,0.022223789868475723,0.0,0.06602406679602392
22,0.0,0.0,0.0627059364457306,0.0855139230786842,0.0,0.004267554785647276,0.021055316199853676,0.11679242096839286
27,0.03152866982483953,0.0,0.06085599202763607,0.09243652530219462,0.0,0.0058150073058314935,0.0,0.037719265765208926
34,0.0,0.0,0.0462978511271898,0.054664787404130166,0.005565651973891104,0.0,0.0,0.012730892723920702
39,0.0,0.015359955819827322,0.19447899546634084,0.21691953802681163,0.0,0.04723712945168981,0.040090785498113825,0.0
44,0.01649499258477035,0.004614303375769587,0.040924419132058625,0.07635995578354852,0.0,0.0,0.03373525378207534,0.047008015541028056
50,0.0,0.03443572832603944,0.021700415930869858,0.045848137473192156,0.0,0.0,0.006149546033771555,0.04260520535944546
72,0.018815452495090475,0.04796238909203849,0.0,0.03862316232059492,0.0,0.0,0.019371435836433862,0.0198308838538634
94,0.01062693961281782,0.0,0.05274919787022655,0.05782707000332277,0.0,0.010999584779293282,0.0,0.052372386538596626
99,0.0,0.0,0.07662952003416959,0.08826217285291901,0.0,0.010254308468072794,0.03962564997843439,0.05511073448531238
107,0.005316995601373931,0.0,0.05710567523912715,0.059532333145350134,0.0,0.0,0.03956171899577018,0.09403440568649768
116,0.07674049996508663,0.012012722120936736,0.06865058147958837,0.09174273299347652,0.0,0.0,0.06233239544240807,0.00724634996036637
118,0.0346679505600259,0.02646943534420877,0.023179561925717043,0.04034004682714382,0.0,0.0,0.17004241074274096,0.017079811822585705
119,0.012251637565809914,0.009652538457436154,0.024269704327955773,0.042645819100637646,0.0,0.023942244545840975,0.12271615524227772,0.0
126,0.03191140892023901,0.0,0.08675241954497376,0.10353368731237511,0.0,0.8652733666561983,0.006544110292668174,0.013601199166358333
133,0.07324975104334772,0.07999036876727174,0.07928574109731688,0.10151979937122244,0.0,0.0,0.014800790189013294,0.015180545411033712
134,0.0,0.04092773905647331,0.10312305797070444,0.16139704948279596,0.0,0.0,0.004849411366242811,0.0
135,0.07274955157708195,0.0,0.025284277412463144,0.03201178683557183,0.0,0.13702961927024174,0.005499767947648487,0.03467952440137653
136,0.011755378326613122,0.0,0.12834344989818997,0.14756739285656215,0.0,0.0,0.027487666567306272,0.06426211770780385
155,0.02173942574016241,0.0,0.0573482823950266,0.07089656881591627,0.0,0.0,0.04044102847855725,0.11023312988142162
163,0.0660558971825931,0.0,0.08066056088061745,0.10610841784079846,0.0,0.0,0.13040818567306664,0.004753304165194027
185,0.00968793161320432,0.0387325359718263,0.021622942147954953,0.029989164940004597,0.0,0.0,0.0,0.00853569380294284
187,0.0,0.0,0.02749020226446676,0.07354836082189213,0.0,0.0,0.017862482994036692,0.0435821697619132
192,0.0,0.0,0.036283429936967856,0.06289493281611992,0.0,0.0,0.0,0.0
213,0.012300327281232398,0.0,0.15130788970319892,0.16639232628280004,0.0,0.0,0.045472328199224435,0.07542758626196315
220,0.0,0.0,0.059402256991510874,0.08332682025175443,0.0,0.0,0.0,0.0
222,0.0,0.0,0.05079744814261367,0.06383924485481446,0.0,0.0,0.05953002711287742,0.0
229,0.006703509513624534,0.0,0.038932375245693776,0.07007720127987138,0.0,0.016423934855149522,0.009572415790618526,0.07637199359857227
231,0.06771367173532998,0.01866574717428695,0.12299335268132833,0.1414498869365777,0.0,0.009943060707950565,0.01812220138382455,0.060619815844562185
248,0.0098594644605659,0.008519614699141307,0.02962809404697383,0.03946009475956201,0.0,0.0,0.0042845954002059755,0.0
250,0.011043692746829831,0.007586208785816444,0.08359486019199783,0.08715037800771133,0.0,0.006339468790585519,0.04782993095849474,0.006030702852367625
