Target,Model,R2_Score_Test,R2_Score_CV_Mean,R2_Score_CV_Std,MSE_Test,RMSE_Test
SBR_PC1,Image Features Only,0.9197436085273674,0.8964254811678899,0.036474449369849414,0.842130718791498,0.917676805194235
SBR_PC1,Image Features + Demographics,0.9215461128363112,0.8981352704485698,0.03570805162890438,0.82321703202509,0.907313083794723
SBR_PC2,Image Features Only,0.6159700878609726,0.7019780375427849,0.04867396027513928,0.28266912454630166,0.5316663658219332
SBR_PC2,Image Features + Demographics,0.6162094180606957,0.6999302663218897,0.046793225144525816,0.2824929631174785,0.5315006708532724
SBR_PC3,Image Features Only,0.4582253707570133,0.5685309560619844,0.08417285468700847,0.26571526219147484,0.5154757629525125
SBR_PC3,Image Features + Demographics,0.4475710184810273,0.5623443864512054,0.08210113915529399,0.27094072653713774,0.5205196696928347
