Dimension,Cluster_0_Mean,Cluster_1_Mean,Difference,t_statistic,p_value,Cohens_d
latent_201,-0.014092496170824248,-0.1077015527769573,0.09360905660613304,21.14109002029555,8.13490367502181e-90,0.9330216210796454
latent_231,-1.04143333843406,-0.1590227463603203,-0.8824105920737396,-19.209739083127975,1.0825001819509602e-75,0.8613468103045189
latent_61,-0.0011554442795429162,0.09861248591613879,-0.09976793019568171,-18.780696937174156,1.1154269812682313e-72,0.8207472591232454
latent_36,-0.050623551101573565,-0.13102697705489325,0.08040342595331967,17.779263460103483,7.811804253566299e-66,0.786186825397598
latent_244,-0.17672948008463898,-0.26571080807491104,0.08898132799027206,17.882000696503745,1.5953380677651008e-66,0.7830023403120838
latent_108,0.05894637673360218,0.134601062685516,-0.07565468595191382,-17.65589610561884,5.216476221242082e-65,0.7824197939570615
latent_156,0.1637495187041349,0.2504676212766904,-0.08671810257255552,-17.76940546440617,9.094907904471152e-66,0.7747907811561493
latent_31,0.06833674030310626,0.13738587744745553,-0.06904913714434928,-17.959074178204354,4.8240155139679997e-67,0.7719415248113828
latent_42,-0.10318000584200955,-0.1704140922228826,0.06723408638087304,16.390356012681945,8.524408028391435e-57,0.7422712446467437
latent_175,-0.007946326222420981,-0.10139731988508897,0.09345099366266799,16.272537468347817,4.698162835891832e-56,0.7303405313664857
latent_241,-0.03726583526624387,-0.11319208043025801,0.07592624516401414,16.236731589200684,7.877650183951108e-56,0.7218798496255623
latent_120,-0.029564046187987053,-0.09751992840521886,0.06795588221723181,16.519413155961022,1.3002900196467826e-57,0.7095087846155
latent_21,0.08482753756181949,0.15621945231245551,-0.07139191475063603,-15.773292920967238,5.854115670969139e-53,0.7067625080044843
latent_119,-0.7244003737987739,-0.15537532090302492,-0.569025052895749,-14.864717847442593,1.61325654261637e-47,0.6943904812691244
latent_188,-0.04689459172086852,-0.11161990840533807,0.06472531668446956,14.937187111038456,6.069047028311596e-48,0.6571159865158798
latent_221,-0.1581529821016349,-0.22080045533416368,0.06264747323252878,14.571226920939031,8.135199410566172e-46,0.6430334728466071
latent_218,-0.1008925094890327,-0.16631834823540215,0.06542583874636945,14.515519886125416,1.7001226314860514e-45,0.6400319252722793
latent_126,0.06501505109720708,-0.7044911990601423,0.7695062501573494,14.040902069294578,8.272751786760441e-43,0.6298895646132184
latent_170,-0.016654899256786104,-0.08880227827823131,0.0721473790214452,14.366010126334833,1.215466490345442e-44,0.6296900095625358
latent_0,0.043401095267200276,-0.08716935820622776,0.13057045347342805,14.202503942162435,1.025201258463557e-43,0.6227993031411195
latent_179,-0.0020214693651158036,0.06762701750786478,-0.06964848687298059,-13.568509337745848,3.310490299691414e-40,0.6173856450332186
latent_225,-0.07381510619912807,-0.13150375717590745,0.05768865097677939,14.126440163425857,2.745966237027871e-43,0.6134700813756641
latent_14,-0.045268349764886244,-0.10650299975628114,0.06123464999139489,13.563506993269648,3.5241749723311886e-40,0.6011176104265079
latent_178,0.05944512730485014,0.11199772541059785,-0.052552598105747715,-13.118925859255897,8.476832704105243e-38,0.5927345009509914
latent_235,0.06397696199385558,0.1287192330010676,-0.06474227100721203,-12.861968230366175,1.8809065484311303e-36,0.5822021695553616
latent_101,-0.01414065677569891,-0.07647333329752669,0.06233267652182778,13.129502136835079,7.4533542378478e-38,0.580773766350262
latent_35,-0.02420782916446185,-0.09908194093701067,0.07487411177254882,13.180963023188779,3.9802799705326703e-38,0.5773087314469157
