Factor,Top_Dimension,Effect_Size,P_Value,Survives_Bonferroni,Separation_Gap_Pct,Separation_Quality
Age,latent_72,0.11609425010682586,1.580087873385957e-65,True,29.373081312600895,Excellent
Sex,latent_133,0.05190571729730837,2.7186603248991114e-29,True,16.353777541814132,Good
Scanner,latent_213,0.17074848307001292,8.585540158054355e-85,True,12.169832251594768,Good
Scanner Model,latent_213,0.1861016607501062,7.319583371445384e-87,True,2.4970785385484566,Weak
Patient Hand,latent_23,0.004969241174347854,0.002751090739239906,False,5.4443722008432625,Insignificant
SBR_PC1,latent_126,0.769034364978185,0.0,True,67.45226181628135,Excellent
SBR_PC2,latent_163,0.23132251387220532,1.2061923118829651e-137,True,53.530193752817766,Excellent
SBR_PC3,latent_229,0.06968032642246436,4.017376418582771e-39,True,1.1957878454507787,Weak
Age,latent_72,0.11609425010682586,1.580087873385957e-65,True,29.373081312600895,Excellent
Sex,latent_133,0.05190571729730837,2.7186603248991114e-29,True,16.353777541814132,Good
Scanner,latent_213,0.17074848307001292,8.585540158054355e-85,True,12.169832251594768,Good
Scanner Model,latent_213,0.1861016607501062,7.319583371445384e-87,True,2.4970785385484566,Weak
Patient Hand,latent_23,0.004969241174347854,0.002751090739239906,False,5.4443722008432625,Insignificant
SBR_PC1,latent_126,0.769034364978185,0.0,True,67.45226181628135,Excellent
SBR_PC2,latent_163,0.23132251387220532,1.2061923118829651e-137,True,53.530193752817766,Excellent
SBR_PC3,latent_229,0.06968032642246436,4.017376418582771e-39,True,1.1957878454507787,Weak
