Latent_Dim,Caudate_L,Caudate_R,Putamen_L,Putamen_L_Ant,Putamen_R,Putamen_R_Ant
latent_1,-0.60376107726796,-0.5590093367666957,-0.5656304210935534,-0.605260237866088,-0.5292624105008923,-0.5585603422318676
latent_114,0.05381482160609123,-0.09641575009054937,0.0725171416123164,0.07169370230742014,-0.06366351135674325,-0.0840880928542452
latent_116,0.455010799740244,0.5119167226295955,0.389717718940499,0.4373840806577046,0.44126054253022473,0.5005307147121869
latent_142,0.009001716630816885,0.037434286151650877,-0.07889080320842806,-0.03421917507134725,-0.05922164146861211,-0.01539969923067688
latent_159,0.2742752682779409,0.43527582430787903,0.27992350438639685,0.2863472206239651,0.41200954729013994,0.43673196417948446
latent_187,-0.2799135586137621,-0.12322934387863263,-0.3156991385812099,-0.31689352012132255,-0.19635595666689165,-0.1678210757267565
latent_22,0.09250433618286702,0.10489190853083716,-0.055379280769357477,0.01014747589299779,-0.04546678345296031,0.024376055456617675
latent_25,0.009401482373650145,-0.20814128354327918,-0.02441806498192336,-0.0037299905076136545,-0.224658229553497,-0.22561720937289714
latent_33,0.033240396680894714,0.018234869768349784,-0.06001203635345796,-0.02358637127580678,-0.07104118154456734,-0.030795659437496712
latent_42,0.0031307235719039463,0.006971491647539725,-0.07728190169131995,-0.03612861074621137,-0.04643282841565832,-0.02427271106959939
latent_5,-0.7580082128533889,-0.7562262687022725,-0.7443737449836622,-0.7827861026057598,-0.7426858938509064,-0.7777206744440133
latent_53,-0.1074714539821077,-0.05721691478760973,0.08379607867646705,-0.008540382091986355,0.12703744242461898,0.04763726953378413
latent_73,-0.47794028028627067,-0.47324841209446555,-0.4342667222097471,-0.4650134957560607,-0.43893849308374705,-0.462245814242505
latent_93,-0.7582087379301101,-0.7344324756705076,-0.7461593939902107,-0.7865732929526468,-0.7182853903947666,-0.7571282627849136
