Latent_Dimension_Index,Age,Sex,Scanner,Scanner Model,Patient Hand,SBR_PC1,SBR_PC2,SBR_PC3
6,0.0,0.0,0.02409328861052062,0.031761668949898327,0.0,0.0,0.0,0.0
8,0.031164085510184958,0.0,0.09377697656987913,0.11271566272749374,0.0,0.007894589616248985,0.0,0.019953453418022894
10,0.02295614527721068,0.046226571928543,0.05086906512015749,0.058473602199345484,0.0,0.02444347122036618,0.0,0.048326067894463136
17,0.0,0.0,0.027473297632679274,0.08747776102335142,0.0,0.008109076531552774,0.0074496471275873714,0.0
18,0.0,0.0,0.06957664081554023,0.07546697530026515,0.0,0.030678415345423964,0.0,0.05756526169193175
19,0.009993181990681613,0.004970586338768818,0.08897199588340848,0.10424265915157885,0.0,0.03192477889294885,0.0,0.0
22,0.0,0.0,0.07058756186704704,0.08693826590071924,0.0,0.0,0.005518320511806458,0.04758211521167385
23,0.0,0.0,0.06992628986200529,0.07843265278779374,0.0,0.0,0.01033516906470052,0.024002832894501346
27,0.0536837810167498,0.0,0.06087677690814524,0.08021390558770213,0.0,0.006399597586073372,0.006093747068301263,0.06138370948681879
34,0.0,0.008354134688436954,0.04751696853543665,0.0598152003425214,0.0,0.0,0.0,0.0
38,0.029311094294781823,0.0,0.029750498176648828,0.046980156685853855,0.0,0.059196401264948136,0.0,0.005543294637515953
39,0.020381176801429705,0.0,0.1783562344174514,0.20662276859097659,0.0,0.16117156128039148,0.020633832326107965,0.00630843664380675
40,0.013786893059901094,0.010839100111764472,0.041021802870449424,0.05288436737978567,0.0,0.0,0.015961531529863127,0.019980921779327823
44,0.03326277396308839,0.01982543703109956,0.038782320654826195,0.08110476655659583,0.0,0.0,0.03070229192081304,0.008054709203727684
48,0.029519419968202187,0.0,0.03017348483058503,0.03629092245851774,0.0,0.07860172937487077,0.0,0.020585310227559855
50,0.005705977965929405,0.02897007837880783,0.017064191093953067,0.03842880920149919,0.0,0.0,0.01818433966663979,0.06737127966291893
51,0.0,0.0,0.0,0.02643975894317223,0.0,0.0,0.0,0.004853364470709843
62,0.0,0.0,0.03831153652032169,0.048905162154881866,0.0,0.0,0.00555953438643344,0.0
67,0.0063983846882653996,0.0,0.02473871919839839,0.030205529939648767,0.0,0.0,0.0,0.0
72,0.09409607950397757,0.04121694526274178,0.0,0.046330766435720594,0.0,0.0,0.0,0.0
75,0.0,0.01353020798370286,0.03146881513162034,0.05207612956817822,0.0,0.011162796697928976,0.011923818770623783,0.0
86,0.0,0.0,0.04420335982258664,0.04804773630325161,0.0,0.006355794828810173,0.007153234147595006,0.01926633138396502
90,0.007538480482796559,0.0,0.06279592837489363,0.07998389196866822,0.0,0.008051455707310452,0.0,0.018753046655542425
92,0.04666542286571974,0.0,0.029155415514598354,0.03349972159038489,0.0,0.058800402256429796,0.0055712609801020635,0.01705134537244124
94,0.016994750310709836,0.008431441591957915,0.041566864537558396,0.05291108960200419,0.0,0.023318830797457436,0.0,0.03752897343473606
95,0.005454975925136212,0.008926564299552908,0.019599647096078705,0.03304685791681443,0.0,0.0,0.0,0.02119275323286123
99,0.0,0.00878270733666299,0.09235643049652026,0.10604403597910281,0.0,0.04995474826916968,0.03825747106912673,0.06690412676573874
102,0.01699850045938743,0.0,0.029643650115530346,0.0492492601286311,0.0,0.010741131613739394,0.0,0.0
107,0.0,0.0,0.058147456055457465,0.06451699667720887,0.0,0.0,0.028243652842246184,0.050238161130559664
112,0.0,0.0,0.024707900428907068,0.027000396644618164,0.0,0.0,0.0,0.0
114,0.0,0.00914747907737805,0.061677678264759346,0.06315488294935256,0.0,0.0062564020478452055,0.0,0.0
115,0.0,0.0,0.07284944439144024,0.08012455347818517,0.0,0.0,0.0,0.0
116,0.08721694495216882,0.005726329341104847,0.07196429654460677,0.09707995488680482,0.0,0.0,0.08053074781051854,0.0
118,0.02078531232204574,0.029964920936952615,0.0378238755856923,0.04824536014332767,0.0,0.005693123681130719,0.08903797125674678,0.02255982399938359
119,0.0076928180991951145,0.00986242414101721,0.02386522246145674,0.043584879482782404,0.0,0.06428104191226204,0.1322372765387167,0.0
126,0.025505928880564865,0.0,0.11925451193544534,0.13503874354362064,0.0,0.8365606370933911,0.006670347451858005,0.007449168818481719
133,0.05240428740506569,0.06248114851154789,0.08463620282666241,0.10135604805978785,0.0,0.020989220275520037,0.02269285314313484,0.030773336904151842
134,0.0,0.03447311685039245,0.11888312896750483,0.17668098915424926,0.0,0.0,0.012131471532312171,0.008204392008667889
135,0.04139197785542094,0.0,0.03063100368834006,0.04029913660174118,0.0,0.20154269051765583,0.0,0.037660576964677096
136,0.0269666494635297,0.0,0.05667235440963259,0.07446003180145241,0.0,0.0,0.008322941228614952,0.031031438901754325
142,0.011879571074841373,0.0,0.0,0.03169371451393121,0.006388295248056685,0.0,0.0,0.03867294310288982
147,0.0,0.0088882988384181,0.025664042268610236,0.042080260961075054,0.0,0.0,0.0,0.016842123002870447
150,0.0,0.008813337227826184,0.02015247167556232,0.0,0.0,0.0,0.0,0.006671552294004417
154,0.010434295592761239,0.0,0.03599446832122796,0.03780637547180554,0.0,0.007562482515547373,0.008657661005228582,0.0
155,0.028633418683986472,0.0,0.046922763840554736,0.059162786427774616,0.0,0.009734725727647995,0.016217345561276547,0.0802975963339733
163,0.05181114272089886,0.0,0.06399877982799995,0.08856211562305559,0.0,0.013683413482733001,0.1942041018995673,0.0
171,0.0,0.0,0.06038922958988119,0.06798328693261241,0.0,0.0,0.0,0.017509316931811753
