Feature,Coefficient,Abs_Coefficient,Rank
latent_93,-0.5651980022238642,0.5651980022238642,1
latent_5,-0.4073072740998178,0.4073072740998178,2
latent_116,0.2648610270029959,0.2648610270029959,3
latent_1,-0.23073420604336914,0.23073420604336914,4
latent_73,-0.2169907866125127,0.2169907866125127,5
latent_199,-0.17492101663996246,0.17492101663996246,6
latent_196,-0.17423355040072025,0.17423355040072025,7
latent_86,0.16965659013604406,0.16965659013604406,8
latent_62,-0.16388877260313142,0.16388877260313142,9
latent_63,-0.16249546686935418,0.16249546686935418,10
latent_187,-0.15655856889591976,0.15655856889591976,11
latent_159,0.14320367335818282,0.14320367335818282,12
latent_213,-0.14114883580912777,0.14114883580912777,13
latent_177,-0.12311891670380981,0.12311891670380981,14
latent_142,-0.12199727733384927,0.12199727733384927,15
latent_92,0.12163596972736618,0.12163596972736618,16
latent_44,0.1159096580608001,0.1159096580608001,17
latent_115,-0.11214990181303437,0.11214990181303437,18
latent_31,-0.11004231182901827,0.11004231182901827,19
latent_253,0.10793145474374903,0.10793145474374903,20
latent_35,0.105401647712678,0.105401647712678,21
latent_215,0.09829636312413917,0.09829636312413917,22
latent_41,-0.09755147819102708,0.09755147819102708,23
latent_103,-0.09738844735776718,0.09738844735776718,24
latent_186,-0.09294161296114975,0.09294161296114975,25
latent_68,-0.09217584072262297,0.09217584072262297,26
latent_249,-0.09137804157427015,0.09137804157427015,27
latent_17,-0.09009064205448548,0.09009064205448548,28
latent_114,0.0847827530695814,0.0847827530695814,29
latent_30,-0.08436802815894351,0.08436802815894351,30
latent_7,0.08413904387913443,0.08413904387913443,31
latent_77,0.08328751073348352,0.08328751073348352,32
latent_247,0.08251039177874221,0.08251039177874221,33
latent_202,-0.08153139395047726,0.08153139395047726,34
latent_140,-0.08035810155939876,0.08035810155939876,35
latent_55,0.07831443941638029,0.07831443941638029,36
latent_156,-0.07795718179409401,0.07795718179409401,37
latent_18,-0.07593648757437728,0.07593648757437728,38
latent_47,0.07525047092575778,0.07525047092575778,39
latent_97,-0.07498075188503034,0.07498075188503034,40
latent_235,0.07429917372928525,0.07429917372928525,41
latent_182,-0.07416655825471367,0.07416655825471367,42
latent_33,-0.0729069533608034,0.0729069533608034,43
latent_83,-0.07215582741423383,0.07215582741423383,44
latent_228,-0.06951879353208383,0.06951879353208383,45
latent_246,0.06905304042881107,0.06905304042881107,46
latent_175,0.06891674573392512,0.06891674573392512,47
latent_250,-0.0685601983663221,0.0685601983663221,48
latent_70,-0.06783723372438553,0.06783723372438553,49
latent_161,0.06734505537904452,0.06734505537904452,50
latent_126,0.06732794434071082,0.06732794434071082,51
latent_238,0.06630170843661104,0.06630170843661104,52
latent_53,0.06615581454226019,0.06615581454226019,53
latent_118,0.0653961042863726,0.0653961042863726,54
latent_16,0.06456649186717768,0.06456649186717768,55
latent_109,0.06343957247938298,0.06343957247938298,56
latent_255,-0.06308341726411529,0.06308341726411529,57
latent_244,0.06228842272404327,0.06228842272404327,58
latent_51,0.06135023423427609,0.06135023423427609,59
latent_155,0.060657040841688936,0.060657040841688936,60
latent_233,-0.05938166699789955,0.05938166699789955,61
latent_23,-0.05831319048682477,0.05831319048682477,62
latent_79,-0.058036430353440104,0.058036430353440104,63
latent_113,0.05801826813070286,0.05801826813070286,64
latent_42,-0.05768739261347354,0.05768739261347354,65
