Variable,Cluster_0_Mean,Cluster_0_Std,Cluster_1_Mean,Cluster_1_Std,t_statistic,p_value,Cohens_d
DATSCAN_PUTAMEN_L,0.7224182561307904,0.32228004519808623,0.9606939501779357,0.646853662103909,-10.994712363973019,2.3592111879984345e-27,-0.46627415510075626
DATSCAN_PUTAMEN_R,0.7525136239782017,0.35447016321609265,0.9878469750889679,0.6574662307938921,-10.341299758602252,1.8357802747174503e-24,-0.4455700978812594
DATSCAN_CAUDATE_R,1.7764100817438693,0.5963829746403674,2.0891281138790037,0.8500670758642817,-9.32380392628143,2.8354486757618554e-20,-0.42589329311250324
DATSCAN_CAUDATE_L,1.768692098092643,0.57967346708701,2.063540925266904,0.8519128665481169,-8.92222274641801,9.974625248527049e-19,-0.40466698549999364
AGE_AT_VISIT,62.938749214359916,9.507344771780852,65.45450352009388,9.942117656429996,-5.26015002745626,1.5912456771477691e-07,-0.2586319276198307
