Factor,Top_Dimension,Metric,Top_Value,Second_Value,Gap,Gap_Percent,P_Value
Age,latent_72,Pearson r,0.3067508427111123,0.2953251512353271,0.011425691475785205,3.724746564607009,7.760216935219364e-53
Sex,latent_133,Point-biserial r,0.249962294179638,0.21500365561669643,0.03495863856294157,13.985564773948738,4.2106760843369686e-35
Handedness,latent_142,Eta²,0.006388295248056676,0.005800464990059727,0.0005878302579969494,9.201676428085689,0.0005081162614636915
Scanner,latent_39,Eta²,0.1783562344174514,0.173430674971676,0.004925559445775413,2.761641308397946,2.192906919160183e-89
SBR_PC1,latent_126,Pearson r,0.9146368881110094,0.448935062695771,0.4657018254152384,50.91658028106081,0.0
SBR_PC2,latent_163,Pearson r,0.4406859447492821,0.36364443696929655,0.07704150777998553,17.482179474504566,2.5080875601602738e-113
SBR_PC3,latent_155,Pearson r,0.2833683050977531,0.281038424421878,0.00232988067587514,0.8222093416803988,4.612170814256989e-45
