Factor,Test,Statistic,p-value,Effect Size (Cramér's V),Effect Size (η²)
Manufacturer,Chi-square,311.4868129660964,4.7377358159058854e-58,0.3917164533004127,
SBR_PC1,ANOVA,120.50115254877909,2.830144372317044e-27,,0.05608614750140015
SBR_PC2,ANOVA,1.0397577429697277e-05,0.99742752092763,,5.127010540625702e-09
SBR_PC3,ANOVA,7.305687253371943,0.00693100520536169,,0.003589479113199406
