Algorithm,silhouette,davies_bouldin,calinski_harabasz,n_clusters
KMeans,0.055265908483700436,4.005161785967521,115.97162750245309,2
GMM,0.12801975194371357,6.102594677910884,47.83963905802303,2
Hierarchical,0.09065447571377533,4.487393877148477,70.5661062128203,2
