,Age,Sex,Scanner,Scanner Model,Patient Hand,SBR_PC1,SBR_PC2,SBR_PC3
latent_6,0.0,0.0,0.02409328861052062,0.031761668949898327,0.0,0.0,0.0,0.0
latent_8,0.031164085510184958,0.0,0.09377697656987913,0.11271566272749374,0.0,0.007894589616248985,0.0,0.019953453418022894
latent_10,0.02295614527721068,0.046226571928543,0.05086906512015749,0.058473602199345484,0.0,0.02444347122036618,0.0,0.048326067894463136
latent_15,0.0,0.0,0.0,0.0,0.0,0.0,0.02493500455834378,0.0
latent_17,0.0,0.0,0.027473297632679274,0.08747776102335142,0.0,0.008109076531552774,0.0074496471275873714,0.0
latent_18,0.0,0.0,0.06957664081554023,0.07546697530026515,0.0,0.030678415345423964,0.0,0.05756526169193175
latent_22,0.0,0.0,0.07058756186704704,0.08693826590071924,0.0,0.0,0.005518320511806458,0.04758211521167385
latent_23,0.0,0.0,0.06992628986200529,0.07843265278779374,0.0,0.0,0.01033516906470052,0.024002832894501346
latent_27,0.0536837810167498,0.0,0.06087677690814524,0.08021390558770213,0.0,0.006399597586073372,0.006093747068301263,0.06138370948681879
latent_34,0.0,0.008354134688436954,0.04751696853543665,0.0598152003425214,0.0,0.0,0.0,0.0
latent_39,0.020381176801429705,0.0,0.1783562344174514,0.20662276859097659,0.0,0.16117156128039148,0.020633832326107965,0.00630843664380675
latent_44,0.03326277396308839,0.01982543703109956,0.038782320654826195,0.08110476655659583,0.0,0.0,0.03070229192081304,0.008054709203727684
latent_47,0.0,0.012657010511645889,0.02489036575356416,0.03155223849959847,0.0,0.0,0.0,0.0
latent_50,0.005705977965929405,0.02897007837880783,0.017064191093953067,0.03842880920149919,0.0,0.0,0.01818433966663979,0.06737127966291893
latent_51,0.0,0.0,0.0,0.02643975894317223,0.0,0.0,0.0,0.004853364470709843
latent_55,0.012904331410960472,0.004918563002522846,0.020609600112332125,0.025641939814661792,0.0,0.00892578938978309,0.0054030118256401215,0.0
latent_62,0.0,0.0,0.03831153652032169,0.048905162154881866,0.0,0.0,0.00555953438643344,0.0
latent_67,0.0063983846882653996,0.0,0.02473871919839839,0.030205529939648767,0.0,0.0,0.0,0.0
latent_72,0.09409607950397757,0.04121694526274178,0.0,0.046330766435720594,0.0,0.0,0.0,0.0
latent_75,0.0,0.01353020798370286,0.03146881513162034,0.05207612956817822,0.0,0.011162796697928976,0.011923818770623783,0.0
latent_76,0.0,0.0,0.017840481694646925,0.036365066039577044,0.0,0.031206271892970466,0.03263199383263783,0.013789479110740872
latent_86,0.0,0.0,0.04420335982258664,0.04804773630325161,0.0,0.006355794828810173,0.007153234147595006,0.01926633138396502
latent_90,0.007538480482796559,0.0,0.06279592837489363,0.07998389196866822,0.0,0.008051455707310452,0.0,0.018753046655542425
latent_94,0.016994750310709836,0.008431441591957915,0.041566864537558396,0.05291108960200419,0.0,0.023318830797457436,0.0,0.03752897343473606
latent_95,0.005454975925136212,0.008926564299552908,0.019599647096078705,0.03304685791681443,0.0,0.0,0.0,0.02119275323286123
latent_96,0.0,0.008972623065228068,0.022456735642208753,0.03876076683978187,0.0,0.023248554369121627,0.0,0.009898971511794228
latent_99,0.0,0.00878270733666299,0.09235643049652026,0.10604403597910281,0.0,0.04995474826916968,0.03825747106912673,0.06690412676573874
latent_102,0.01699850045938743,0.0,0.029643650115530346,0.0492492601286311,0.0,0.010741131613739394,0.0,0.0
latent_107,0.0,0.0,0.058147456055457465,0.06451699667720887,0.0,0.0,0.028243652842246184,0.050238161130559664
latent_112,0.0,0.0,0.024707900428907068,0.027000396644618164,0.0,0.0,0.0,0.0
latent_114,0.0,0.00914747907737805,0.061677678264759346,0.06315488294935256,0.0,0.0062564020478452055,0.0,0.0
latent_115,0.0,0.0,0.07284944439144024,0.08012455347818517,0.0,0.0,0.0,0.0
latent_116,0.08721694495216882,0.005726329341104847,0.07196429654460677,0.09707995488680482,0.0,0.0,0.08053074781051854,0.0
