Feature,Coefficient,Abs_Coefficient,Rank
latent_176,-0.06097985171232694,0.06097985171232694,1
latent_53,-0.06065508013939487,0.06065508013939487,2
latent_116,0.060302880070017925,0.060302880070017925,3
latent_219,0.05688572187180002,0.05688572187180002,4
latent_22,0.05195136692999253,0.05195136692999253,5
latent_191,0.05001320827561772,0.05001320827561772,6
latent_177,0.048220417085578136,0.048220417085578136,7
latent_154,0.04672309472456779,0.04672309472456779,8
latent_121,0.045849470781744915,0.045849470781744915,9
latent_69,0.042680284506752875,0.042680284506752875,10
latent_247,0.041420256171819214,0.041420256171819214,11
latent_105,0.03961552180677787,0.03961552180677787,12
latent_227,0.038107425303982506,0.038107425303982506,13
latent_42,0.038027959128738804,0.038027959128738804,14
latent_142,0.03646745297561741,0.03646745297561741,15
latent_196,-0.036442388784549855,0.036442388784549855,16
latent_193,-0.03587534459924213,0.03587534459924213,17
latent_24,-0.035144608188281794,0.035144608188281794,18
latent_32,-0.033200082472831544,0.033200082472831544,19
latent_1,-0.032378164812669245,0.032378164812669245,20
latent_229,-0.03150391933422801,0.03150391933422801,21
latent_88,-0.030999464875795652,0.030999464875795652,22
latent_104,-0.03099134607385206,0.03099134607385206,23
latent_15,0.0304552073997697,0.0304552073997697,24
latent_190,-0.030306276427963262,0.030306276427963262,25
latent_249,-0.02991084596431248,0.02991084596431248,26
latent_208,-0.02990603073715402,0.02990603073715402,27
latent_63,-0.029717353053742734,0.029717353053742734,28
latent_204,-0.029706047274476826,0.029706047274476826,29
latent_186,-0.02895796990116374,0.02895796990116374,30
latent_62,0.028842198290375005,0.028842198290375005,31
latent_103,0.02870003740328949,0.02870003740328949,32
latent_57,0.02788402195145962,0.02788402195145962,33
latent_100,0.027879645664626453,0.027879645664626453,34
latent_12,0.02785297457663804,0.02785297457663804,35
latent_158,-0.02746879598440235,0.02746879598440235,36
latent_33,0.027064087306620587,0.027064087306620587,37
latent_7,-0.026986739198791077,0.026986739198791077,38
latent_214,0.02689406103620888,0.02689406103620888,39
latent_170,-0.02680242607482852,0.02680242607482852,40
latent_123,0.026657116334149016,0.026657116334149016,41
latent_198,-0.026240873639935266,0.026240873639935266,42
latent_92,0.025969070465931113,0.025969070465931113,43
latent_132,-0.025053163451693217,0.025053163451693217,44
latent_16,0.024233242373504004,0.024233242373504004,45
latent_189,0.024186111420201124,0.024186111420201124,46
latent_169,-0.024045208052703985,0.024045208052703985,47
latent_224,0.02399487397246658,0.02399487397246658,48
latent_35,0.023565380328017124,0.023565380328017124,49
latent_183,-0.023103479587741216,0.023103479587741216,50
latent_194,-0.023030438082980793,0.023030438082980793,51
latent_111,0.022991587406809233,0.022991587406809233,52
latent_252,0.022828392045802694,0.022828392045802694,53
latent_218,0.02264841832260041,0.02264841832260041,54
latent_93,-0.02263702404600169,0.02263702404600169,55
latent_44,0.02210640796958007,0.02210640796958007,56
latent_34,0.021890778875380993,0.021890778875380993,57
latent_82,0.021669147862687768,0.021669147862687768,58
latent_203,0.02133872738025536,0.02133872738025536,59
latent_157,0.021322841299352968,0.021322841299352968,60
latent_68,-0.021185265897574176,0.021185265897574176,61
latent_18,0.021112595921494653,0.021112595921494653,62
latent_78,0.020794996378416503,0.020794996378416503,63
latent_242,0.020780644203005405,0.020780644203005405,64
latent_211,-0.020667705388289364,0.020667705388289364,65
latent_199,0.020582862520355582,0.020582862520355582,66
latent_85,0.020506118882863068,0.020506118882863068,67
latent_144,0.020284589654945725,0.020284589654945725,68
latent_131,-0.020201096673298197,0.020201096673298197,69
latent_149,-0.01966328136497972,0.01966328136497972,70
latent_106,0.019339111324218457,0.019339111324218457,71
latent_230,0.019210034387692854,0.019210034387692854,72
latent_60,-0.018769779643063124,0.018769779643063124,73
latent_163,-0.01831918786330449,0.01831918786330449,74
latent_50,0.01821622879819209,0.01821622879819209,75
latent_20,-0.01818259314985126,0.01818259314985126,76
latent_122,-0.01808329574236295,0.01808329574236295,77
latent_133,0.01797276387677313,0.01797276387677313,78
latent_91,0.017946579546122204,0.017946579546122204,79
latent_145,0.01783304905714845,0.01783304905714845,80
latent_235,-0.017443756077913295,0.017443756077913295,81
latent_83,0.01733517397036121,0.01733517397036121,82
latent_86,0.017057248902950704,0.017057248902950704,83
latent_243,0.01659554800622633,0.01659554800622633,84
latent_36,0.016499081627911142,0.016499081627911142,85
latent_197,0.01592148419217532,0.01592148419217532,86
latent_225,0.01583085447274741,0.01583085447274741,87
latent_226,-0.0157637247391187,0.0157637247391187,88
latent_54,0.01567621997128559,0.01567621997128559,89
latent_237,0.015598722859048083,0.015598722859048083,90
latent_160,-0.015334593367064012,0.015334593367064012,91
latent_213,0.01532581884491741,0.01532581884491741,92
latent_195,0.015028802259930326,0.015028802259930326,93
latent_25,0.014941378880934936,0.014941378880934936,94
latent_13,-0.014881610042828624,0.014881610042828624,95
latent_134,0.014858767731829306,0.014858767731829306,96
latent_143,-0.01476677462152012,0.01476677462152012,97
latent_0,0.014545365215060745,0.014545365215060745,98
latent_45,0.01445067081877485,0.01445067081877485,99
latent_127,-0.014266429131348195,0.014266429131348195,100
latent_245,0.014251915391177815,0.014251915391177815,101
latent_166,0.014246296212365289,0.014246296212365289,102
latent_8,-0.014236141015423675,0.014236141015423675,103
latent_5,0.014223555777820111,0.014223555777820111,104
latent_180,0.014019805680298791,0.014019805680298791,105
latent_49,0.01390956353631234,0.01390956353631234,106
latent_159,-0.01387772937667496,0.01387772937667496,107
latent_181,0.013778224332396954,0.013778224332396954,108
latent_58,-0.013736619287780099,0.013736619287780099,109
latent_148,-0.013702269763185821,0.013702269763185821,110
latent_99,-0.013024003537543074,0.013024003537543074,111
